msec,Experiment,Exper,µVpostEEMD1Ozsqua,µVpostEEMD2Ozsqua,µVpostEEMD3Ozsqua,µVpostEEMD4Ozsqua,µVpostEEMD5Ozsqua,µVpostEEMD6Ozsqua,µVpostEEMD7Ozsqua,µVpostEEMD1combinexpOzSquareMask,µVpostEEMD2combinexpOzSquareMask,µVpostEEMD3combinexpOzSquareMask,µVpostEEMD4combinexpOzSquareMask,µVpostEEMD5combinexpOzSquareMask,µVpostEEMD6combinexpOzSquareMask,µVpostEEMD7combinexpOzSquareMask,µVpostEEMD1combinexpOzSquarePseudo,µVpostEEMD2combinexpOzSquarePseudo,µVpostEEMD3combinexpOzSquarePseudo,µVpostEEMD4combinexpOzSquarePseudo,µVpostEEMD5combinexpOzSquarePseudo,µVpostEEMD6combinexpOzSquarePseudo,µVpostEEMD7combinexpOzSquarePseudo,µVpostEEMD1Ozdiamo,µVpostEEMD2Ozdiamo,µVpostEEMD3Ozdiamo,µVpostEEMD4Ozdiamo,µVpostEEMD5Ozdiamo,µVpostEEMD6Ozdiamo,µVpostEEMD7Ozdiamo,µVpostEEMD1combinexpOzDiamondMask,µVpostEEMD2combinexpOzDiamondMask,µVpostEEMD3combinexpOzDiamondMask,µVpostEEMD4combinexpOzDiamondMask,µVpostEEMD5combinexpOzDiamondMask,µVpostEEMD6combinexpOzDiamondMask,µVpostEEMD7combinexpOzDiamondMask,µVpostEEMD1combinexpOzDiamondPseudo,µVpostEEMD2combinexpOzDiamondPseudo,µVpostEEMD3combinexpOzDiamondPseudo,µVpostEEMD4combinexpOzDiamondPseudo,µVpostEEMD5combinexpOzDiamondPseudo,µVpostEEMD6combinexpOzDiamondPseudo,µVpostEEMD7combinexpOzDiamondPseudo,µVpostEEMD1OzMask,µVpostEEMD2OzMask,µVpostEEMD3OzMask,µVpostEEMD4OzMask,µVpostEEMD5OzMask,µVpostEEMD6OzMask,µVpostEEMD7OzMask,µVpostEEMD1OzPseudomask,µVpostEEMD2OzPseudomask,µVpostEEMD3OzPseudomask,µVpostEEMD4OzPseudomask,µVpostEEMD5OzPseudomask,µVpostEEMD6OzPseudomask,µVpostEEMD7OzPseudomask
0,Experiment I,1,304.5763688,161.3165301,87.96239067,332.817104,193.8838369,310.3331068,1778.089322,23.79430748,76.7579962,303.3516495,441.9681716,1361.522008,358.7280284,45.38791204,133.0557171,207.5292361,259.9240962,207.7249674,659.7270713,1530.491277,80.94124775,4.759348832,171.5154709,112.0118456,169.6413316,433.9748849,412.2337156,1773.611139,142.6158687,93.6514378,36.63826762,49.00704637,181.9724622,184.9643757,330.6360572,207.7266,9.124439,79.88244,43.82017,6.115643,60.89123,159.7906,53.194376417614,223.075702465098,10.3712758946082,205.118246549817,268.991831636826,307.337691485227,752.358412095338,229.351204979012,105.524954001761,12.5585874208941,123.913194893436,67.3562554995837,157.873567785887,86.3789714674308
5,Experiment I,1,113.2940965,70.17276848,53.66530251,186.6721632,126.8113122,225.3069646,803.9171441,385.4101245,100.9597044,117.3346979,157.8903735,829.4127827,929.828531,45.38791204,74.305549,122.5194336,126.2019555,127.9332522,339.6376457,554.2942223,80.94124775,63.52399398,113.83491,66.67822246,91.67515965,297.2717939,285.3227858,823.137067,388.5690299,80.93878739,48.0646752,26.36551706,150.5261332,120.4018372,207.7049107,195.5747,22.5171,16.24958,16.56789,1.618059,44.15309,102.4076,13.5948179566921,125.581832543108,27.4851464191284,102.321960916637,171.905096397999,232.261867864691,263.146975353697,339.231786931141,50.5491195230401,29.0396572999266,64.1102104493379,37.1038238225428,112.164827574951,87.1751571674248
10,Experiment I,1,156.9048579,48.46416275,42.12248806,166.4353917,117.8717753,209.5445553,862.2252604,15.54376247,25.43136709,103.0510145,153.9486889,976.6386743,871.5335725,45.38791204,127.5508569,62.67607893,101.9009289,112.3794418,311.3580857,615.8768478,80.94124775,41.57076385,64.44360344,54.96428689,79.76095014,281.8905279,270.5547579,883.4681159,116.5035417,27.61224125,43.58079406,24.21591865,142.0177728,126.1133568,207.3223789,158.1592,4.654186,15.29428,16.81788,1.196824,44.47371,101.6234,27.7125885207836,110.193560268509,19.9822704337321,88.8819409452333,155.864711150095,220.270899534097,305.927334792408,184.756784180046,37.0934529040516,29.8350105092909,53.8884785153594,33.8897622823873,115.839980780535,87.2933636850346
15,Experiment I,1,90.52911745,36.74763424,31.07426631,121.4273219,100.1331065,178.5314619,562.8403251,240.9031983,61.9578468,66.98000025,314.5398437,862.1365663,1133.431498,45.38791204,30.74099437,59.55276869,69.1904099,86.35433877,213.8066528,347.8427004,80.94124775,36.84183669,65.42403366,48.73684409,55.12058289,236.3339016,225.3260454,591.8124776,255.7162531,48.5739175,62.88814082,18.46023636,129.084802,112.3347363,168.5395542,155.4565,10.21265,1.442651,11.63206,.125416,42.19124,83.33581,7.0298795247224,97.9381121980038,18.2627002438068,57.0741422535946,123.222530267211,192.787403362783,159.841727883133,259.121761277876,38.5522405238046,36.3456646788407,36.5276149984858,23.892312983794,104.367917726344,87.6802504643342
20,Experiment I,1,75.81555616,25.82491007,21.51519336,113.0212039,99.25442753,169.5834136,608.2903846,13.15384042,15.3145152,64.94926488,291.8975404,963.6152533,1090.296654,45.38791204,105.8935644,37.52961836,60.96525979,78.29420045,196.1615066,381.6666603,80.94124775,29.67397025,49.91937091,45.61199139,48.45588628,228.3986511,216.6178759,635.1112826,78.22783224,24.92063257,54.48925953,18.50333522,123.6700234,116.1362282,168.0773709,127.0357,19.47682,1.210502,14.659,.079724,42.15968,82.63143,39.9103956174294,95.1227848156566,18.7636405302863,51.9366318897051,115.514910715523,185.483147989592,191.76793859978,165.674215380276,48.7136366674974,31.0096142170841,33.3824836288684,22.2093868550427,106.456289444953,87.7880022818895
25,Experiment I,1,28.08100471,21.98875399,12.3247297,88.26418039,91.88746344,151.0970334,439.7628167,154.2873474,19.0754424,51.31967297,370.9813821,916.8543133,1238.745063,45.38791204,13.98125304,46.50528702,45.84816897,63.38951832,150.2851774,257.747641,80.94124775,37.87328729,60.08352127,44.41780229,37.28816782,202.5368801,189.3671792,470.3646769,178.2673019,44.1055981,58.35708283,16.20889374,115.547591,110.7895612,145.8344005,128.4716,34.57922,6.468776,14.60229,.414222,41.61733,72.05882,15.5963473244342,79.6127797996154,15.2469909003369,35.6027785978135,97.1308971269935,168.605390642763,110.790698595822,217.095068240628,45.9712370128638,35.4549589221847,26.3831094180426,16.4346791165145,100.602203793741,88.0478458930971
30,Experiment I,1,85.06284954,18.35940206,3.481729003,83.69481718,93.10111676,145.3924333,478.1646126,18.9887797,14.4951995,53.43843878,344.8561382,994.726524,1204.887078,45.38791204,96.29599793,37.72683123,42.20455616,58.15648244,137.783052,273.1094438,80.94124775,47.32397252,52.80055324,43.07125774,33.38837689,197.8018837,183.6542431,503.9592852,35.20855809,18.3416911,44.75468581,16.99924366,111.8539036,113.5586631,145.3109633,95.051,25.68847,6.088089,18.13029,.393209,41.49251,71.39152,55.43032347882,57.2985065037406,19.472650780702,34.7570214937186,92.8952343678421,163.495403472718,136.822225661179,111.501173942239,50.0361234260509,30.4199559313087,27.1028618802125,15.3421350222389,101.987145845186,88.1421243675006
35,Experiment I,1,83.02309943,20.72305148,7.080439331,66.83685266,88.9165886,132.6497118,364.2387847,90.90987622,30.36392333,47.87247445,392.2350207,972.0012453,1305.192515,45.38791204,29.77207156,48.21092873,33.01159623,47.96563266,120.3637308,215.3403628,80.94124775,25.98591737,59.33847081,42.90136412,30.76659985,180.8081075,164.5582186,392.2993935,89.63267902,14.62147599,39.18577559,15.89146539,106.1926036,111.2668079,130.097978,97.73916,17.66117,9.71898,18.99769,.746147,41.47855,64.11645,33.3201739113253,21.9888617210247,18.750773525545,26.1639494356736,80.6688247808878,151.423971443804,82.486131954461,189.465185219555,41.4252317375798,34.3383819594139,25.4051721740992,11.5228245589923,98.2749382532171,88.3330318728077
40,Experiment I,1,82.48615742,21.11492799,16.03255337,63.59051413,90.18783742,128.7639477,397.9063954,42.28712176,14.75846567,51.12455401,366.2358491,1034.947083,1277.611505,45.38791204,72.07022861,40.874022,30.6935831,44.10275501,111.7064554,216.7761625,80.94124775,19.32557209,49.33470695,41.94203317,28.95426754,177.7862361,160.619332,419.1786358,52.28907074,11.50228402,24.1093225,16.67903301,103.6268874,113.3572282,129.5232411,88.60329,16.33331,10.15871,22.24979,.906736,41.3385,63.4695,84.6795055484217,38.8897098504928,21.380747364488,28.1589791718941,78.1258182421831,147.568247357382,104.631991258276,130.6522132553,31.9516643354281,33.5142860024449,27.9630550450641,10.7398292989808,99.2657986192073,88.4116834706039
45,Experiment I,1,87.18088214,24.02006341,24.93338845,50.55245315,86.86736733,119.261455,313.560613,87.55354733,34.71691526,47.88623987,397.5721324,1023.39447,1351.685799,45.38791204,19.478137,47.12704829,24.23924105,36.49701504,113.3038782,197.5416373,80.94124775,28.50432013,53.2984532,41.86907521,31.41977918,165.9084207,146.1928774,336.7278306,172.3971572,33.25635463,22.30463694,15.81937843,99.49805155,112.5022111,118.1969803,98.13349,24.24499,10.49087,22.79962,1.306597,41.55634,58.02975,53.2585743632442,57.2740086702155,22.1315260321568,24.0799590323834,69.1575253147449,138.244716275133,64.4899217437542,212.948292893597,28.8976708294139,36.071987903473,28.4425665553734,8.27224535357282,96.6507335909235,88.5546583856
