msec,Experiment,Exper,µVpostEEMD1T5squa,µVpostEEMD2T5squa,µVpostEEMD3T5squa,µVpostEEMD4T5squa,µVpostEEMD5T5squa,µVpostEEMD6T5squa,µVpostEEMD7T5squa,µVpostEEMD1combinexpT5SquareMask,µVpostEEMD2combinexpT5SquareMask,µVpostEEMD3combinexpT5SquareMask,µVpostEEMD4combinexpT5SquareMask,µVpostEEMD5combinexpT5SquareMask,µVpostEEMD6combinexpT5SquareMask,µVpostEEMD7combinexpT5SquareMask,µVpostEEMD1combinexpT5SquarePseudo,µVpostEEMD2combinexpT5SquarePseudo,µVpostEEMD3combinexpT5SquarePseudo,µVpostEEMD4combinexpT5SquarePseudo,µVpostEEMD5combinexpT5SquarePseudo,µVpostEEMD6combinexpT5SquarePseudo,µVpostEEMD7combinexpT5SquarePseudo,µVpostEEMD1T5diamo,µVpostEEMD2T5diamo,µVpostEEMD3T5diamo,µVpostEEMD4T5diamo,µVpostEEMD5T5diamo,µVpostEEMD6T5diamo,µVpostEEMD7T5diamo,µVpostEEMD1combinexpT5DiamondMask,µVpostEEMD2combinexpT5DiamondMask,µVpostEEMD3combinexpT5DiamondMask,µVpostEEMD4combinexpT5DiamondMask,µVpostEEMD5combinexpT5DiamondMask,µVpostEEMD6combinexpT5DiamondMask,µVpostEEMD7combinexpT5DiamondMask,µVpostEEMD1combinexpT5DiamondPseudo,µVpostEEMD2combinexpT5DiamondPseudo,µVpostEEMD3combinexpT5DiamondPseudo,µVpostEEMD4combinexpT5DiamondPseudo,µVpostEEMD5combinexpT5DiamondPseudo,µVpostEEMD6combinexpT5DiamondPseudo,µVpostEEMD7combinexpT5DiamondPseudo,µVpostEEMD1T5Mask,µVpostEEMD2T5Mask,µVpostEEMD3T5Mask,µVpostEEMD4T5Mask,µVpostEEMD5T5Mask,µVpostEEMD6T5Mask,µVpostEEMD7T5Mask,µVpostEEMD1T5Pseudomask,µVpostEEMD2T5Pseudomask,µVpostEEMD3T5Pseudomask,µVpostEEMD4T5Pseudomask,µVpostEEMD5T5Pseudomask,µVpostEEMD6T5Pseudomask,µVpostEEMD7T5Pseudomask
0,Experiment I,1,94.69431233,50.08824428,116.4958521,263.7260027,358.8224583,172.1082766,1362.42115,98.12361837,54.50817912,229.8886482,133.2461113,143.6762084,547.7796202,85.65308246,83.78578448,91.63170142,142.0220528,25.1658416,38.09622104,147.233499,596.2718775,105.6036841,12.22127893,78.49746634,28.65289912,94.33374992,105.4310352,864.2870556,66.0130986,83.19415265,73.30566653,273.298664,203.1495049,173.5307163,1222.474301,368.4480173,55.45824997,28.44861441,159.5971366,308.5259892,253.9562472,1400.002705,29.2092113799869,24.5985179638749,31.8259922426919,95.5370056286502,82.3754551443156,149.238161185444,519.311436529578,43.1401713014398,55.9358760380065,8.44274898001541,77.5122909809399,25.3673517741838,570.689744490909,236.481789094021
5,Experiment I,1,90.67415751,22.56203434,35.95478622,155.6881232,265.2027546,141.0973122,644.3928903,41.26747092,29.30067062,135.2051546,78.50350953,90.34031137,167.0011918,85.65308246,7.854232842,42.14376854,66.80900124,16.22950962,24.50733029,88.50772727,230.1198241,130.1562501,20.09758747,48.25238586,23.30195902,63.24023592,62.82425008,373.381974,137.7335257,48.75576932,55.14501537,130.6686872,156.6725023,122.0920884,561.6560741,40.1946523,26.52130244,12.04333788,75.46406515,234.9113589,174.5076772,649.174678,102.589097933023,4.63978304624986,24.8322217344572,49.8924800078157,49.8959052571374,119.497219575845,281.269633556958,84.7844692502252,43.807401139992,8.94653960396696,48.918463424249,22.8538161005696,297.543359878409,153.07455758787
10,Experiment I,1,66.57957961,24.89012539,32.55233995,142.162771,243.6563313,133.4691469,687.8958011,73.9633282,23.25853456,111.4284988,69.09042215,81.72323573,204.7476416,85.65308246,63.54315244,41.45073598,53.94150596,16.77386511,20.9479394,81.76732371,259.9136348,85.94311454,11.64545255,42.50611729,16.64688913,56.68678101,57.14953755,406.0920909,68.28243526,36.49803622,58.06246796,115.4109779,143.1527947,110.1323359,594.8185962,248.6026928,27.41342776,8.360793838,65.50951073,220.9933816,162.8543062,696.5758931,19.7582298380923,8.42933557042211,21.5570844336278,42.7391734455008,46.2430364002169,121.168665945113,295.529904936377,36.0320872568809,14.5856890949531,15.0088674359834,42.6815225972806,23.8402562467648,310.21551469337,152.754392025046
15,Experiment I,1,75.40678435,16.03935847,12.70438039,107.4583488,207.4900981,121.1875745,466.7821722,8.440864999,19.38140899,82.88562987,51.35823354,62.83576652,109.7174546,85.65308246,19.74891397,22.40867459,36.81133005,19.92911164,16.27730839,61.19422637,150.0954179,81.29209133,16.17405507,32.23168474,15.15560673,45.6717466,42.94322386,255.4778433,105.2782845,17.77172116,56.75034503,74.01103583,122.6992181,89.37619037,388.5207855,59.32962807,15.85899554,5.0012123,39.20727266,193.8608753,133.5666753,465.4525689,59.8404416124776,10.550631275065,21.1928521168629,28.7307209447866,36.3802071566673,116.777115148904,228.057908785874,55.350575007439,24.9236362478204,12.6890786315768,33.8298501836732,24.9638742436844,227.820762382172,127.12764543289
20,Experiment I,1,70.99204565,14.96545502,13.37592072,101.4056662,193.9934656,116.2724681,499.9972821,46.61661024,18.52269492,69.64959,46.86476553,57.95731779,131.2070031,85.65308246,40.56324234,20.3056457,33.2672405,23.16589163,14.20064643,57.25088651,172.5104885,62.23897104,12.99471851,29.23642838,12.32863951,41.72134417,40.5885061,279.9236128,77.68872895,10.5990861,57.6206822,70.71258931,112.4613033,81.29477706,413.8563865,201.1130932,17.61288047,3.516680596,35.14530988,185.328437,126.2554536,500.4672247,12.1798477965241,10.1223312529118,19.6296621853969,25.64649185768,35.224463488037,117.139137264823,238.874252620806,40.7188321937251,9.4432822211105,13.7830585443113,30.9319536956144,26.4308392791352,236.800786545467,126.748111787017
25,Experiment I,1,47.34531618,11.09668844,3.171621716,81.66898995,171.310786,108.412965,374.8508077,15.24324917,14.37062232,52.56109843,36.86423096,46.66580209,92.40630345,85.65308246,13.62070574,14.9036443,26.03948549,26.31486316,11.45103277,44.8293752,111.4964903,62.16469006,19.11178018,22.55098365,12.32088869,35.15477777,33.02057288,194.7407564,73.95721147,11.82079404,54.17848661,51.68355068,97.97993752,67.79431966,295.8988081,66.87123431,12.97402931,1.849817084,20.79530487,168.6273395,108.1521446,369.2519895,56.9792379257457,7.54441567386107,19.0994568529327,18.1683249938027,30.0234571110698,115.624392149035,203.298276314303,39.232882592491,16.8115342423378,11.597807730407,25.9278677584484,27.7459661897464,191.237400240232,112.334619211211
30,Experiment I,1,28.38790184,9.88188525,4.339327824,78.05941468,161.7672629,104.8000466,402.3964933,28.70677243,8.699700019,43.87972242,34.16760527,43.48660673,104.1188938,85.65308246,52.5185878,21.4916329,24.57553418,28.90031034,10.00110789,42.13274111,129.8404398,59.0075472,17.5536275,19.66901057,11.31709892,32.31203899,32.31773036,214.7534639,45.79742832,21.08336792,50.91892801,52.79418866,89.35968954,61.73137919,316.9295675,149.7218725,16.12089137,.928715736,19.090463,162.5622259,102.9944665,397.3214548,7.97801044233636,6.36658450320388,17.1953087645147,16.8061601357959,29.6906742298955,115.60351272674,212.129565495369,29.4705977665608,4.20195516881674,10.1511685168902,23.9729984488858,29.1337913174546,198.10570521989,111.9119019034
35,Experiment I,1,42.75620838,15.09121159,3.517420301,64.23425393,145.4962779,99.01154034,317.1310817,25.94275267,9.889323732,35.34705986,27.30566724,35.62915365,87.33310898,85.65308246,31.76800157,19.44181117,19.60684787,31.33251403,8.203987896,33.33685027,88.80049714,64.66517436,15.03190224,13.97688348,11.98149415,27.85217493,27.87931019,156.7053773,41.42095127,20.80353732,44.07512121,42.98185047,77.73336428,51.78400375,235.9588875,48.48912787,10.27861603,.292076774,9.893321632,150.6335701,90.03254771,307.5479604,43.4770828645959,6.94306752783923,15.8937278658761,12.2741025170763,26.301678435016,115.051865977526,189.247871471568,28.8858351971742,13.8124927892201,11.8593710382445,20.3938772556073,30.3772947375696,167.89354596418,102.217725197572
40,Experiment I,1,64.22824031,17.36273275,3.454891135,61.43095127,138.4089745,96.16174122,340.8955093,23.47852076,19.1042649,35.94787061,25.37141036,33.43722724,93.19064155,85.65308246,54.56635305,23.05515855,16.99487183,33.15794333,7.152647445,31.34958125,104.4230739,68.31817061,5.636346163,11.50599085,11.73926133,25.64495408,28.08324851,173.8341364,49.53539304,17.86095112,36.51618085,45.42107505,70.17199828,47.09063223,254.1389798,137.2013761,9.458915995,.420922682,9.4791389,145.9800161,86.19880482,330.9100736,14.9027500232824,7.57968141169597,13.569447170525,11.9953509484763,26.2283299895044,114.895314392214,196.744746334324,24.6097521230453,20.8383261616165,12.6085623700741,18.7866372771924,31.6599022207244,173.320599979828,101.760660202848
45,Experiment I,1,56.59569576,24.62180555,8.235709293,50.52106367,126.0287215,91.58310803,277.1787865,28.64560718,24.94395984,36.79995563,20.11662032,27.57219175,86.35918053,85.65308246,14.70280492,19.86651187,11.95591813,34.85466599,6.071447622,24.63431181,73.98937448,41.49593914,10.08245826,8.240813497,12.5559822,22.5382103,25.39163717,130.4447515,60.38136724,8.603868359,26.3455748,39.50102164,60.3404173,39.47163776,193.3599681,49.83926715,3.609871597,.685502126,3.230332464,136.8184796,76.25271704,263.5776072,34.1658445024731,4.78278846200267,11.7782145412949,9.28162903012296,23.6935945783364,114.82976326566,180.37204182432,24.5097133455304,29.8435083467946,16.0509658318123,16.0997535991596,32.8284595952935,151.43927062176,94.6495039322048
