msec,Exper,T5Diamond,T5DiamondMask,T5DiamondPseudo,T5Mask,T5Pseudomask,T5Square,T5SquareMask,T5SquarePseudomask,OzDiamond,OzDiamondMask,OzDiamondPseudo,OzMask,OzPseudomask,OzSquare,OzSquareMask,OzSquarePseudo,T5Mask_T5SquareMask,T5Pseudomask_T5SquarePseudomask,T5Mask_T5DiamondMask,T5Pseudomask_T5DiamondPseudo,OzMask_OzSquareMask,OzPseudomask_OzSquarePseudo,OzMask_OzDiamondMask,OzPseudomask_OzDiamondPseudo
0,1,-.269433,-.235111,-.118312,.0158516,-.128185,-.0282977,.0878687,-.307352,.215091,-.196394,-.261597,-.0176467,-.00181507,.0219434,-.15616,-.187437,-.0720171,.179167,.2509626,-.00987299999999999,.1385133,.18562193,.1787473,.25978193
5,1,-.246599,-.219826,-.101418,.0312411,-.111831,-.0525671,.0402987,-.279838,.182615,-.177052,-.255378,-.00211669,.0325437,.0197474,-.15675,-.151104,-.0090576,.168007,.2510671,-.010413,.15463331,.1836477,.17493531,.2879217
10,1,-.219963,-.205305,-.0798237,.0411499,-.0940345,-.076474,-.0116104,-.249056,.14608,-.158503,-.246432,.00889367,.0686818,.0176551,-.159915,-.111634,.0527603,.1550215,.2464549,-.0142108,.16880867,.1803158,.16739667,.3151138
15,1,-.189869,-.191961,-.0541075,.0447233,-.0760116,-.0982353,-.0654948,-.216291,.107035,-.141587,-.234084,.0140948,.104168,.0162857,-.165492,-.0719742,.1102181,.1402794,.2366843,-.0219041,.1795868,.1761422,.1556818,.338252
20,1,-.156837,-.179906,-.0252274,.0416915,-.0590285,-.116139,-.118549,-.183048,.0673343,-.126933,-.217695,.0127054,.13604,.0162828,-.1729,-.0355546,.1602405,.1240195,.2215975,-.0338011,.1856054,.1715946,.1396384,.353735
25,1,-.121595,-.168925,.00551716,.03244,-.0442081,-.128766,-.167711,-.15091,.0289861,-.114892,-.19675,.00466988,.161116,.0182093,-.181123,-.0058345,.200151,.1067019,.201365,-.04972526,.18579288,.1669505,.11956188,.357866
30,1,-.0850959,-.158489,.0365607,.0180142,-.0323791,-.135172,-.209899,-.121381,-.00600837,-.105488,-.17096,-.00919606,.176433,.0224458,-.188765,.01421,.2279132,.0890019,.1765032,-.0689398,.17956894,.162223,.09629194,.347393
35,1,-.0485206,-.147833,.0661789,4.47297E-005,-.0239871,-.134998,-.242254,-.0957163,-.0358313,-.0984168,-.140347,-.0272027,.179749,.0290964,-.194137,.0225709,.2422987297,.0717292,.1478777297,-.090166,.1669343,.1571781,.0712141,.320096
40,1,-.0132433,-.136075,.0926105,-.0194038,-.0190992,-.128505,-.262404,-.0747802,-.059014,-.0930847,-.105324,-.0469311,.169981,.0379122,-.195416,.0185512,.2430002,.055681,.1166712,-.1117097,.1484849,.1514298,.0461536,.275305
45,1,.0192471,-.122355,.114194,-.038045,-.0174573,-.116513,-.268681,-.0589331,-.0745789,-.0886815,-.0667349,-.0655208,.147518,.0482591,-.190832,.00292906,.230636,.0414758,.08431,-.1316513,.1253112,.14458894,.0231607,.2142529
50,1,.0474848,-.105976,.1295,-.0536192,-.0185535,-.100267,-.260304,-.0479698,-.0821331,-.0842736,-.0258531,-.0800669,.114274,.0591406,-.178868,-.0221158,.2066848,.0294163,.0523568,-.1480535,.0988011,.1363898,.00420669999999999,.1401271
55,1,.0701866,-.086502,.137454,-.0641564,-.0216936,-.0812542,-.237479,-.0411237,-.0819109,-.0789147,.0156638,-.0880598,.0734998,.0692696,-.158468,-.0532895,.1733226,.0194301,.0223456,-.1591476,.0704082,.1267893,-.0091451,.057836
60,1,.0864157,-.0638398,.137429,-.0682191,-.0260495,-.0610134,-.201424,-.0371408,-.0747604,-.071758,.0558743,-.0877852,.0293437,.0771891,-.129218,-.086626,.1332049,.0110913,-.00437929999999999,-.1634785,.0414328,.1159697,-.0160272,-.0265306
65,1,.0957299,-.0382418,.129315,-.0650899,-.0306441,-.0409467,-.154294,-.0344156,-.0620641,-.0621435,.0927026,-.0786064,-.0137093,.0814389,-.0914628,-.118001,.0892041,.0037715,-.0268481,-.1599591,.0128564,.1042917,-.0164629,-.1064119
70,1,.0982716,-.010278,.113547,-.0548808,-.0344014,-.0221731,-.0990269,-.0311746,-.045607,-.0496611,.124121,-.0610863,-.0515036,.0807418,-.0463677,-.143626,.0441461,-.0032268,-.0446028,-.1479484,-.0147186,.0921224,-.0114252,-.1756246
75,1,.0947708,.01922,.0910906,-.0385497,-.0362324,-.00543384,-.0391114,-.0256939,-.0274106,-.0341829,.148347,-.036939,-.0807968,.0741853,.0041082,-.160451,.000561700000000005,-.0105385,-.0577697,-.127323,-.0410472,.0796542,-.0027561,-.2291438
80,1,.086476,.0492442,.0633894,-.0178104,-.035166,.00895593,.0216932,-.0165196,-.00953689,-.0158525,.16404,-.00879065,-.0996714,.0613839,.0573194,-.166411,-.0395036,-.0186464,-.0670546,-.0985554,-.06611005,.0667396,.00706185,-.2637114
85,1,.0750178,.0786881,.0322755,.00505174,-.0305414,.0211012,.0796649,-.00266083,.00611392,.00496221,.170465,.020179,-.107773,.042593,.110122,-.160517,-.07461316,-.02788057,-.07363636,-.0628169,-.089943,.052744,.01521679,-.278238
90,1,.0622111,.106415,-.000152581,.0274429,-.0221976,.0314602,.131418,.016262,.0179823,.0277303,.167603,.0466813,-.106306,.0187476,.159123,-.142798,-.1039751,-.0384596,-.0789721,-.022045019,-.1124417,.036492,.018951,-.273909
95,1,.0498575,.131309,-.0316738,.0467683,-.0105365,.0407437,.17417,.0399425,.0249946,.0518387,.156197,.0677281,-.0977026,-.00857471,.200973,-.114144,-.1274017,-.050479,-.0845407,.0211373,-.1332449,.0164414,.0158894,-.2538996
