msec,Experiment,Exper,HzpostEEMD1Ozsqua,HzpostEEMD2Ozsqua,HzpostEEMD3Ozsqua,HzpostEEMD4Ozsqua,HzpostEEMD5Ozsqua,HzpostEEMD6Ozsqua,HzpostEEMD7Ozsqua,HzpostEEMD1combinexpOzSquareMask,HzpostEEMD2combinexpOzSquareMask,HzpostEEMD3combinexpOzSquareMask,HzpostEEMD4combinexpOzSquareMask,HzpostEEMD5combinexpOzSquareMask,HzpostEEMD6combinexpOzSquareMask,HzpostEEMD7combinexpOzSquareMask,HzpostEEMD1combinexpOzSquarePseudo,HzpostEEMD2combinexpOzSquarePseudo,HzpostEEMD3combinexpOzSquarePseudo,HzpostEEMD4combinexpOzSquarePseudo,HzpostEEMD5combinexpOzSquarePseudo,HzpostEEMD6combinexpOzSquarePseudo,HzpostEEMD7combinexpOzSquarePseudo,HzpostEEMD1Ozdiamo,HzpostEEMD2Ozdiamo,HzpostEEMD3Ozdiamo,HzpostEEMD4Ozdiamo,HzpostEEMD5Ozdiamo,HzpostEEMD6Ozdiamo,HzpostEEMD7Ozdiamo,HzpostEEMD1combinexpOzDiamondMask,HzpostEEMD2combinexpOzDiamondMask,HzpostEEMD3combinexpOzDiamondMask,HzpostEEMD4combinexpOzDiamondMask,HzpostEEMD5combinexpOzDiamondMask,HzpostEEMD6combinexpOzDiamondMask,HzpostEEMD7combinexpOzDiamondMask,HzpostEEMD1combinexpOzDiamondPseudo,HzpostEEMD2combinexpOzDiamondPseudo,HzpostEEMD3combinexpOzDiamondPseudo,HzpostEEMD4combinexpOzDiamondPseudo,HzpostEEMD5combinexpOzDiamondPseudo,HzpostEEMD6combinexpOzDiamondPseudo,HzpostEEMD7combinexpOzDiamondPseudo,HzpostEEMD1OzMask,HzpostEEMD2OzMask,HzpostEEMD3OzMask,HzpostEEMD4OzMask,HzpostEEMD5OzMask,HzpostEEMD6OzMask,HzpostEEMD7OzMask,HzpostEEMD1OzPseudomask,HzpostEEMD2OzPseudomask,HzpostEEMD3OzPseudomask,HzpostEEMD4OzPseudomask,HzpostEEMD5OzPseudomask,HzpostEEMD6OzPseudomask,HzpostEEMD7OzPseudomask
0,Experiment I,1,.003270625,.003946991,.02623657,.000376696,.011397289,.001742328,.000793693,.190505571,.003164701,.001612352,.245943003,.014871703,.102898885,1.41E-016,.007702935,.013140449,.001241751,.005809006,.022435447,.019364355,0,.25200116,.011342484,.011792692,.022290208,.008891341,.002138543,.005109801,.494769048,.004052633,.227266546,.004225435,.002759489,.027205263,.013095579,.497102,.133781,.00503,.019408,.008287,.037485,.013549,.266236557262927,.0128000010999569,.0711584659971464,.00136058434844044,.00150598944545316,.00157370430483528,.000116809104770554,.496714265333152,.116135343073172,.00654558422796849,.00619079576106885,.00594639873774195,.0211064535294211,.00373910452826496
5,Experiment I,1,.003270625,.003946991,.02623657,.000376696,.011397289,.001742328,.000793693,.190505571,.003164701,.001612352,.245943003,.014871703,.102898885,1.41E-016,.007702935,.013140449,.001241751,.005809006,.022435447,.019364355,0,.25200116,.011342484,.011792692,.022290208,.008891341,.002138543,.005109801,.494769048,.004052633,.227266546,.004225435,.002759489,.027205263,.013095579,.497102,.133781,.00503,.019408,.008287,.037485,.013549,.266236557262927,.0128000010999569,.0711584659971464,.00136058434844044,.00150598944545316,.00157370430483528,.000116809104770554,.496714265333152,.116135343073172,.00654558422796849,.00619079576106885,.00594639873774195,.0211064535294211,.00373910452826496
10,Experiment I,1,.016905479,.000675495,.022629417,.000213384,.010958298,.001647621,.001307941,.000385603,.021671685,.005148559,.00026293,.007311816,.0001173,3.53E-017,.042159541,.016227088,3.88E-005,.007161988,.022307465,.022841796,0,.479319048,.015809396,.007564182,.030921973,.009147054,.001101779,.005648805,.000724958,.008316955,.011934674,.006180583,.002983899,.014481804,.00810025,.499029,.094116,.086328,.036547,.075802,.014097,.008356,.0472262948980328,.00521001179488759,.0801344001442668,.000179332561982683,.00170082362934141,.00192997254618346,.000220833225093004,.497815983255498,.111740282183935,.0187479343903148,.0116497461011491,.00910045341608329,.00805763129463153,.000137625591141899
15,Experiment I,1,.027931178,.00074586,.020846559,.001009275,.008531197,.001567705,.001270045,.358570894,.1301436,.00668952,.001002277,.008060492,.002224546,0,.004398468,.028513086,.001974841,.007641224,.02285393,.019433023,0,.011698625,.018621029,.001804312,.034283035,.009520166,.001064265,.005448189,.48380458,.008907226,.021009725,.005679267,.003075527,.014891286,.008048553,.498597,.245111,.047497,.029081,.026933,.014959,.008334,.00301542700727374,.0112303612084272,.0787696289689861,.00260520784846311,.00151692806322614,.00211800255734577,.000130617634730989,.499369309827252,.0888321251345436,.0550636249466829,.0157323399140591,.0101129126202019,.00879229761111522,4.50462196359426E-005
20,Experiment I,1,.06529756,.008718767,.013796626,.002181848,.005384455,.001436917,.001658413,.007149633,.004536667,.008933616,4.85E-006,.005370249,.002588162,3.53E-017,.138881663,.017317566,.005316029,.008653769,.027442812,.024411182,3.53E-017,.02628592,.006422801,.00406361,.044265313,.009966737,.000828995,.006329278,.00785984,.015205631,.019525842,.004118283,.003140519,.010382614,.00657767,.497871,.06341,.17587,.014383,.187544,.00825,.006861,.0413524133167176,.0289741779169042,.0995857780543221,.00703386052434573,.00131186393973995,.00236362264175289,8.57126055443588E-005,.00857463563392012,.0905622536747651,.0510932977494784,.0223527031807164,.0135487809545665,.00514360653558608,.0006643675348663
25,Experiment I,1,.066970489,.020712697,.024159534,.003016252,.002423541,.001263045,.001518297,.116622488,.306707396,.00783209,.000292592,.005885454,.001838277,3.53E-017,.027768857,.004691087,.008471017,.008797439,.028810124,.021544812,3.53E-017,.449266363,.009278881,.008509512,.048291807,.010134482,.000862479,.006013571,.057992573,.072788247,.022129329,.001033086,.003120169,.010756441,.006543558,.496576,.148597,.257775,.002689,.275427,.008877,.006851,.0161508624636567,.0386675557267107,.0812999203896455,.00975360156018023,.000917826104349404,.00250921469530321,5.51556573820968E-005,.00263510349313109,.0801340859123377,.0682808837799837,.0225134692542082,.0144696646708945,.00562132327341421,.000566013386748046
30,Experiment I,1,.036658482,.015799445,.180824983,.004365173,.00066677,.001057545,.001811745,.000319337,.05844053,.005334348,.000229522,.004543562,.0032394,0,.137734395,.010313428,.013813765,.009690646,.032928,.024680051,3.53E-017,.344695589,.018660147,.011826902,.054265581,.010451329,.000826136,.006973909,.014203784,.013975113,.014579429,.003195447,.003075683,.008391483,.00582285,.012178,.135751,.06025,.012209,.041546,.005849,.00616,.0428553162211611,.00777869022105938,.0938281270300437,.0148330500284172,.000485837720288187,.00271376960204172,.000325986556577227,.485940467231471,.0999315810362593,.0636940554471887,.0209820245763495,.0194097444925522,.00391013646475712,.00084750636075355
35,Experiment I,1,.042426809,.001701261,.157546606,.004902835,.002819008,.000833583,.001597753,.09891458,.119797827,.001147743,.000478575,.004883157,.00282786,0,.040692577,.038152115,.017342176,.009601721,.034811135,.023478383,0,.18118112,.027253152,.014535086,.056829688,.010494166,.000911733,.006579603,.311875861,.174848231,.000485242,.006659834,.002960733,.008700256,.005799502,.481988,.210367,.073387,.016762,.02376,.006322,.006159,.0110191892570837,.0857887820686311,.0812635470302339,.0134485392370042,4.78419329712174E-006,.00283111819777834,.000449557385033016,.491127761164925,.116325490597767,.0712252983027078,.0151760394359081,.0206305134081323,.00424348550644698,.000782779877610373
40,Experiment I,1,.03231299,.021403615,.003982123,.006174016,.005084362,.000584067,.001786977,.031874471,.030371495,.003981425,.000539506,.004084968,.003451528,0,.193482161,.053225385,.024553034,.01052721,.032990512,.022875242,0,.233792117,.023605026,.016358097,.050934044,.010665366,.00098167,.00757982,.02028556,.059450128,.038065195,.010639102,.002817433,.007247787,.005370698,.494259,.284384,.095026,.024941,.022561,.004649,.005771,.430124357929312,.0469836506080927,.0791250605389467,.0121546442000691,.000547156894080108,.00300804237406468,.00105211057005558,.0068739884275414,.15259228855848,.0684990852748788,.00772128550201102,.0282218206157362,.00325072115946105,.000928141249892057
45,Experiment I,1,.063366115,.045945016,.01944902,.006079998,.006482072,.000344176,.001526534,.048518456,.086392536,.007537558,.00078434,.004315147,.003177784,0,.012537058,.096857166,.028726861,.010279613,.033965085,.023823053,3.53E-017,.393681242,.030293385,.018018788,.050327316,.010629649,.001108756,.007131113,.348505449,.120814344,.072613551,.013191966,.002622117,.007500129,.005355577,.489263,.211845,.098071,.026826,.0072,.005025,.005777,.461127138967758,.0633442416447525,.0769418784275128,.00614478751914834,.0010230366278566,.00310351209533196,.00106062174236098,.463501548722068,.199261839182557,.067138146879141,.00248953477931967,.0302168834607606,.00349689683361448,.000880867004219601
50,Experiment I,1,.144135296,.073571076,.022642845,.006860719,.008094664,7.74E-005,.001602925,.00977038,.054147047,.012109612,.000877797,.003784674,.003515764,0,.062893484,.121487743,.039583731,.011453845,.026786475,.0197209,0,.391897561,.04941896,.018821324,.041200825,.010668911,.001253794,.008157824,.435620217,.084872259,.030943806,.016957768,.002400978,.006523424,.005072295,.007358,.148056,.114837,.030775,.00568,.00399,.005542,.453520821138408,.080752874442579,.0714044925736733,.000446879474610873,.00161283171635371,.00325896600198762,.00210419691825552,.0228866458724184,.183740262884539,.0694435979427369,.00357748665748792,.0392430669100077,.00284819412881123,.000966852957428812
55,Experiment I,1,.308100422,.115461114,.025140899,.005321663,.009027877,.000154952,.001323423,.070440158,.154301243,.015239842,.001114658,.003946097,.003312921,0,.009245073,.159581465,.046756552,.011175151,.026469118,.022090993,3.53E-017,.422426037,.091034111,.019382908,.040018594,.010585458,.001412991,.007675599,.42971688,.172461776,.021283315,.019958219,.002148697,.006731665,.005064223,.468064,.175702,.093402,.031333,.001632,.004304,.005555,.0216254714086682,.0838802053505777,.0810048565088925,.00513184257463134,.00203086036720317,.00333642533155721,.0018804587310407,.0192202786952355,.153899708609494,.0640926703661937,.00663385230293721,.0417055853315857,.00303903715411119,.000929981039985875
60,Experiment I,1,.365640273,.146367708,.02642813,.004379248,.010246806,.000417103,.001286025,.034048797,.339410257,.019140849,.00121484,.003565746,.003518324,0,.450733839,.186237834,.06097936,.013175371,.019518487,.016372837,0,.428117492,.134634398,.0187935,.034578364,.010517151,.00161322,.008716789,.00524983,.076955741,.038028292,.024589573,.001872761,.006033941,.004863998,.444765,.280442,.087387,.034151,.00237,.003615,.005407,.0527398484527514,.0883479540597869,.0794694116788167,.0115305810054223,.00261359358967112,.00347364915431764,.00345617188319812,.0186354212584087,.149000362516351,.0661889804998781,.0107116044772777,.043562303119192,.00258172752552772,.000985149633808029
65,Experiment I,1,.305958933,.141449174,.027465479,.000206492,.010931056,.000625342,.001012093,.289881676,.208772637,.019009797,.001448958,.003682481,.003357476,0,.007745423,.141336374,.072267365,.013305645,.018739462,.0190578,0,.301158631,.177773539,.018406093,.034002449,.010412477,.001791972,.008222246,.033904127,.217714897,.046421165,.027793743,.001583985,.006208809,.00486237,.455361,.25952,.080514,.03529,.005829,.003886,.005427,.0398040399296222,.105316676846908,.0912480263307758,.0145302991734479,.00294285710133715,.00353527308328726,.0028841227325253,.489509479003522,.16844091603199,.0619850267808389,.0127489028600875,.0441986876595396,.00273471122814743,.000955035304798459
70,Experiment I,1,.305257371,.119376962,.027982275,.006879711,.011951469,.000866381,.000867977,.056324676,.086231239,.015952245,.001549227,.003394441,.003492083,0,.119475881,.124653637,.075318332,.01746426,.01409021,.013492781,0,.254585323,.205816261,.019347465,.031630278,.010264802,.002033759,.009260063,.040507672,.049950231,.039575035,.033268082,.001274142,.005688425,.004713593,.434855,.156212,.074992,.038566,.006202,.003405,.005333,.0641815034582893,.144239468476335,.0915104183091545,.0205017608952783,.00348163506579996,.00365585993749971,.00503939260881908,.410506197928041,.277686240278611,.0678637881891992,.0159287932830273,.0358316856046479,.00239419856789521,.000992307173203914
75,Experiment I,1,.294072249,.096453384,.029255683,.019983649,.012531241,.001039215,.000618924,.254795173,.13401677,.004861545,.001770033,.003481096,.003358597,0,.034702089,.130097439,.079814385,.018658375,.013347196,.015836562,0,.344806869,.189091722,.02321608,.031698705,.010156939,.002224921,.008777219,.063288007,.139169427,.024703672,.037616443,.000969884,.005838202,.00471809,.278012,.100607,.076297,.041424,.008036,.003644,.005361,.0262573463786863,.126272266602743,.104934550041669,.022555352676785,.00368824042482904,.00370428578297472,.00403191923562971,.0564802079885168,.262016972247162,.0713398854020579,.017747250991041,.0346279488938692,.0025201042694861,.000966847948327162
80,Experiment I,1,.29367717,.079685406,.031142313,.055121871,.013494123,.001246908,.000380832,.034271361,.102384391,.012178225,.001828395,.003253856,.003451688,3.53E-017,.27600372,.125984325,.067949389,.029970718,.01050756,.011232035,0,.404274696,.176880844,.029423067,.031204059,.009957857,.002498297,.009785408,.270284402,.026356951,.025287229,.047429557,.00065334,.00543721,.004602815,.175301,.00665,.073386,.045823,.008263,.003296,.005301,.0470805570262715,.146831693578892,.123101596566794,.0272304283727752,.00413251143536686,.00381315356385358,.00673979001408968,.412067682815736,.125476153593358,.0850015419833406,.0205641770623685,.0260266150518886,.00225619941483292,.000992866948272064
85,Experiment I,1,.375993405,.072994617,.034466074,.064712458,.014070531,.001376293,.00016951,.327012743,.153483444,.034060831,.001984203,.003319617,.003337306,3.53E-017,.002827956,.149955982,.066444576,.039787331,.009912282,.013059213,0,.388561234,.189131202,.03711132,.031661827,.00986505,.002694423,.00934198,.299214629,.16689969,.097142374,.062137261,.000359609,.005567914,.004613266,.268355,.035087,.078342,.050646,.009378,.003511,.005338,.331359166569233,.104743225026601,.106120698140976,.027696453907069,.00416019411240798,.00385353641774486,.0052726147317462,.0744348068023478,.0908312896769502,.0993668888399926,.0219694328585595,.0247740352517307,.00236219443375152,.000970752880071233
90,Experiment I,1,.370803648,.07581898,.03810352,.065047158,.015096646,.001540201,.000147077,.063424774,.21368814,.050431708,.00196553,.003134599,.003404374,0,.407943111,.157238274,.061535467,.08474366,.008166472,.009514997,0,.367424739,.200673126,.046060537,.032087691,.009647032,.00299436,.010283672,.303703493,.163656178,.066797399,.089251696,5.57E-005,.005251245,.004520412,.331286,.027267,.078559,.055558,.009611,.003252,.0053,.401249070669294,.0962671740511851,.102831013870323,.0312006281476129,.00443657753377485,.00395307321313953,.00840255783063315,.0447473500025816,.0964919906763973,.109845271612858,.0240416868000819,.019614898056456,.00215131263078271,.000989260641134742
