msec,Experiment,Exper,HzpostEEMD1T5squa,HzpostEEMD2T5squa,HzpostEEMD3T5squa,HzpostEEMD4T5squa,HzpostEEMD5T5squa,HzpostEEMD6T5squa,HzpostEEMD7T5squa,HzpostEEMD1combinexpT5SquareMask,HzpostEEMD2combinexpT5SquareMask,HzpostEEMD3combinexpT5SquareMask,HzpostEEMD4combinexpT5SquareMask,HzpostEEMD5combinexpT5SquareMask,HzpostEEMD6combinexpT5SquareMask,HzpostEEMD7combinexpT5SquareMask,HzpostEEMD1combinexpT5SquarePseudo,HzpostEEMD2combinexpT5SquarePseudo,HzpostEEMD3combinexpT5SquarePseudo,HzpostEEMD4combinexpT5SquarePseudo,HzpostEEMD5combinexpT5SquarePseudo,HzpostEEMD6combinexpT5SquarePseudo,HzpostEEMD7combinexpT5SquarePseudo,HzpostEEMD1T5diamo,HzpostEEMD2T5diamo,HzpostEEMD3T5diamo,HzpostEEMD4T5diamo,HzpostEEMD5T5diamo,HzpostEEMD6T5diamo,HzpostEEMD7T5diamo,HzpostEEMD1combinexpT5DiamondMask,HzpostEEMD2combinexpT5DiamondMask,HzpostEEMD3combinexpT5DiamondMask,HzpostEEMD4combinexpT5DiamondMask,HzpostEEMD5combinexpT5DiamondMask,HzpostEEMD6combinexpT5DiamondMask,HzpostEEMD7combinexpT5DiamondMask,HzpostEEMD1combinexpT5DiamondPseudo,HzpostEEMD2combinexpT5DiamondPseudo,HzpostEEMD3combinexpT5DiamondPseudo,HzpostEEMD4combinexpT5DiamondPseudo,HzpostEEMD5combinexpT5DiamondPseudo,HzpostEEMD6combinexpT5DiamondPseudo,HzpostEEMD7combinexpT5DiamondPseudo,HzpostEEMD1T5Mask,HzpostEEMD2T5Mask,HzpostEEMD3T5Mask,HzpostEEMD4T5Mask,HzpostEEMD5T5Mask,HzpostEEMD6T5Mask,HzpostEEMD7T5Mask,HzpostEEMD1T5Pseudomask,HzpostEEMD2T5Pseudomask,HzpostEEMD3T5Pseudomask,HzpostEEMD4T5Pseudomask,HzpostEEMD5T5Pseudomask,HzpostEEMD6T5Pseudomask,HzpostEEMD7T5Pseudomask
0,Experiment I,1,.497540252,.005389742,.006361195,.000656305,.000448191,.001625453,.000204374,.004678738,.00429002,.000791094,.000799877,.000276145,.021709734,1.78E-017,.005947547,.003120198,.000708462,.068370407,.012509492,.001966992,.001851442,.000730454,.019404083,.000190192,.009921172,.012118932,.003453011,.000701763,.493624563,.029935833,.018420879,.009018501,.006254582,.001152219,.000625612,.001961281,.002022638,.002530718,.001765857,.005096182,.000663899,.002304682,.459126929310852,.150551513686431,.0120399339888298,.00217148976812958,.00395576512718879,.0306764002896429,.0148889979432774,.00245647044870339,.000390764570908927,.0122089745000719,.00041204149280655,.0247789788680223,.0115359512751594,.0154634604925504
5,Experiment I,1,.497540252,.005389742,.006361195,.000656305,.000448191,.001625453,.000204374,.004678738,.00429002,.000791094,.000799877,.000276145,.021709734,1.78E-017,.005947547,.003120198,.000708462,.068370407,.012509492,.001966992,.001851442,.000730454,.019404083,.000190192,.009921172,.012118932,.003453011,.000701763,.493624563,.029935833,.018420879,.009018501,.006254582,.001152219,.000625612,.001961281,.002022638,.002530718,.001765857,.005096182,.000663899,.002304682,.459126929310852,.150551513686431,.0120399339888298,.00217148976812958,.00395576512718879,.0306764002896429,.0148889979432774,.00245647044870339,.000390764570908927,.0122089745000719,.00041204149280655,.0247789788680223,.0115359512751594,.0154634604925504
10,Experiment I,1,.489675125,.045436236,.009595784,.000213372,.000272537,.001912166,.000187954,.45285835,.000661113,.002734577,.001303061,.000151,.028359477,9.57E-019,.01528341,.012825038,.001284119,.040696189,.017431338,.003048927,.001732371,.498139845,.01283215,.002419248,.012466908,.013541293,.006383481,.000212698,.493085004,.026374755,4.48E-006,.013450323,.006217656,.001740138,.000994848,.002840981,.006174796,.004410588,.00269905,.005221349,.00012829,.002753708,.00463082245094239,.0236736548994152,.000352821742701371,.00219513901917907,.00314943998204581,.00808724967003656,.00901065699812028,.493144542080425,.00250169406831831,.0698881878187993,.00197173125910715,.00851447224647954,.00849252056189371,.00915404507400137
15,Experiment I,1,.013684248,.062623454,.000986533,.000473236,.000108772,.002093496,.000203872,.009578039,.018749531,.003082958,.001636102,8.51E-005,.02232899,3.22E-021,.020802805,.006090298,.000453026,.011989051,.019608468,.003262412,.001294264,.007735785,.018163078,.004945211,.016185287,.014487041,.007375581,8.98E-005,.018329523,.023439371,.011577628,.013814069,.006092108,.002275313,.001039252,.001277372,.005455854,.014409551,.002358817,.005469862,1.67E-005,.002692338,.436922750744771,.0440757396112878,.0105506719383679,.00108319700355615,.00193388532546347,.0101332093616647,.00851567492403082,.0161437979202273,.00506430168025279,.0692290163303773,.00478384761037143,.00142745381433471,.0081887429659452,.00912211904035522
20,Experiment I,1,.463488771,.106907514,.013325023,.001364219,.000115632,.002290465,.000255202,.195404572,.054796013,.000910609,.002232966,.000438749,.023483875,4.28E-019,.34245722,.040290237,.005374787,.003851775,.023155806,.003961489,.001142398,.485941879,.005914458,.007822884,.016047537,.016070521,.00932383,.000227733,.476496,.105133956,.019511373,.017085939,.005922972,.003132017,.001473591,.481397553,.012082876,.030578693,.002742512,.005709932,.00029157,.003258345,.00804669145882339,.0795609709830135,.0179619205470011,.000535336987899629,.000315663372234301,.00496497867878704,.00586553442234859,.47405048449144,.0219456537136552,.0954557683772118,.00848690878367078,.00368676666251985,.00725065031311094,.00718891345176865
25,Experiment I,1,.022117616,.123806765,.028196646,.002003644,.000343473,.00243155,.000278728,.006252921,.107404907,.005649301,.002483946,.000816662,.020654411,2.22E-018,.049926869,.02160795,.011962694,.012495148,.025221197,.003959304,.000700305,.488455186,.030412518,.007984178,.014959818,.016889329,.00948029,.000288883,.485109792,.046382209,.023597515,.014597161,.005531218,.003945591,.001477334,.006686017,.004786386,.043904139,.001349199,.005878138,.000448575,.003118676,.371216310527093,.125830130105954,.0242986502279654,.00263403174324075,.00116251810516167,.00610222655307993,.00559367526508981,.486254689295756,.21790940076928,.113033041191318,.0117216658494473,.00630723979803726,.00702796213849396,.0071735113321819
30,Experiment I,1,.429176816,.108563357,.199729358,.002840649,.000635487,.002591458,.00036668,.028642081,.214983935,.017843233,.002932014,.001411719,.016624186,1.07E-017,.391669596,.012877536,.023310679,.016872128,.029367628,.004546332,.000315608,.492275369,.047996222,.005525202,.01106304,.018629478,.010343167,.000587292,.02917206,.049906061,.027325423,.013654856,.005118842,.005314255,.002013951,.481197144,.023797262,.145551347,.000341344,.006101539,.000710416,.003721241,.00927866350313789,.220193393376491,.0280308492277999,.00601536457005842,.00305036136380217,.00396571345156722,.00382822301855492,.490078284654544,.386922858726375,.121765895145001,.0162335808006695,.00823911064796667,.00654499161097659,.00616919063973677
35,Experiment I,1,.013058096,.109086383,.161149291,.003062149,.000914398,.002706118,.00039191,.025405056,.235888602,.024645751,.002667469,.001931482,.016802954,2.64E-018,.4539545,.025758282,.032968204,.020249098,.032166968,.004310025,6.1E-005,.019028951,.017202935,.005540424,.006343176,.019522582,.009567324,.000593,.451180294,.060771091,.028841825,.009507304,.004378719,.006588982,.001970804,.004057483,.013793558,.233620918,.003269027,.006234102,.000887471,.00352058,.048281998557358,.226190858033445,.0324415895375791,.00805841205890477,.00438421566596714,.00470858956508462,.00369147323594002,.492165902088481,.21864015609261,.12928568555189,.0199381824180822,.00930244133380479,.00637601666614465,.00616335295380595
40,Experiment I,1,.42781012,.083598063,.025583966,.003392878,.001268154,.00284179,.00050922,.017304612,.14863208,.019457432,.002316757,.002842499,.011194932,1.91E-018,.371302734,.042056101,.050552319,.02247855,.037495389,.004826755,.00073512,.463257585,.07149573,.028361176,.002635278,.021471639,.009209416,.000899575,.001907573,.047368303,.027674471,.005282572,.003529346,.008827556,.00264053,.468674651,.066790599,.143416049,.015699874,.006441935,.001173181,.004151951,.0274924143983063,.178199423285115,.0350724708978845,.0117764358987671,.00622823595715302,.0035806165609704,.0023805845247315,.482620120407541,.115926384983189,.099313511894469,.0257622131307712,.0101250852452406,.00605717991407228,.00552222526590415
45,Experiment I,1,.440347754,.092662669,.050068765,.002760909,.001581799,.002937725,.000531941,.015379678,.10291371,.005751548,.000738864,.00350854,.012682372,3.31E-018,.039654659,.053043409,.074143133,.024703673,.041606038,.004281901,.000982303,.025802479,.048303472,.043556336,.001465639,.022584427,.007881258,.000852009,.474799636,.035618246,.016407136,.001493228,.002154843,.010807441,.0025375,.012354741,.080494458,.081276209,.023181341,.006554555,.001360012,.003899488,.0385133176148929,.146140832398716,.0407869494821363,.0111910465104642,.00732237362473109,.00411637911304899,.00232693053197597,.46897426408874,.183397585552797,.0853329228776501,.0304028287510779,.0105799307478472,.00592979958658613,.00552310999412859
