msec,Exper,µVpostEEMD1Ozsqua,µVpostEEMD2Ozsqua,µVpostEEMD3Ozsqua,µVpostEEMD1combinexpOzSquareMask,µVpostEEMD2combinexpOzSquareMask,µVpostEEMD3combinexpOzSquareMask,µVpostEEMD4combinexpOzSquareMask,µVpostEEMD1combinexpOzSquarePseudo,µVpostEEMD2combinexpOzSquarePseudo,µVpostEEMD3combinexpOzSquarePseudo,µVpostEEMD6combinexpOzSquarePseudo,µVpostEEMD1Ozdiamo,µVpostEEMD2Ozdiamo,µVpostEEMD7Ozdiamo,µVpostEEMD1combinexpOzDiamondMask,µVpostEEMD2combinexpOzDiamondMask,µVpostEEMD3combinexpOzDiamondMask,µVpostEEMD4combinexpOzDiamondMask,µVpostEEMD5combinexpOzDiamondMask,µVpostEEMD1combinexpOzDiamondPseudo,µVpostEEMD2combinexpOzDiamondPseudo,µVpostEEMD3combinexpOzDiamondPseudo,µVpostEEMD1OzMask,µVpostEEMD2OzMask,µVpostEEMD3OzMask,µVpostEEMD6OzMask,µVpostEEMD1OzPseudomask,µVpostEEMD2OzPseudomask,µVpostEEMD3OzPseudomask,µVpostEEMD4OzPseudomask,µVpostEEMD6OzPseudomask,µVpostEEMD7OzPseudomask
0,1,304.5763688,161.3165301,87.96239067,23.79430748,76.7579962,303.3516495,441.9681716,133.0557171,207.5292361,259.9240962,1530.491277,4.759348832,171.5154709,1773.611139,142.6158687,93.6514378,36.63826762,49.00704637,181.9724622,207.7266,9.124439,79.88244,53.194376417614,223.075702465098,10.3712758946082,307.337691485227,229.351204979012,105.524954001761,12.5585874208941,123.913194893436,157.873567785887,86.3789714674308
5,1,113.2940965,70.17276848,53.66530251,385.4101245,100.9597044,117.3346979,157.8903735,74.305549,122.5194336,126.2019555,554.2942223,63.52399398,113.83491,823.137067,388.5690299,80.93878739,48.0646752,26.36551706,150.5261332,195.5747,22.5171,16.24958,13.5948179566921,125.581832543108,27.4851464191284,232.261867864691,339.231786931141,50.5491195230401,29.0396572999266,64.1102104493379,112.164827574951,87.1751571674248
10,1,156.9048579,48.46416275,42.12248806,15.54376247,25.43136709,103.0510145,153.9486889,127.5508569,62.67607893,101.9009289,615.8768478,41.57076385,64.44360344,883.4681159,116.5035417,27.61224125,43.58079406,24.21591865,142.0177728,158.1592,4.654186,15.29428,27.7125885207836,110.193560268509,19.9822704337321,220.270899534097,184.756784180046,37.0934529040516,29.8350105092909,53.8884785153594,115.839980780535,87.2933636850346
15,1,90.52911745,36.74763424,31.07426631,240.9031983,61.9578468,66.98000025,314.5398437,30.74099437,59.55276869,69.1904099,347.8427004,36.84183669,65.42403366,591.8124776,255.7162531,48.5739175,62.88814082,18.46023636,129.084802,155.4565,10.21265,1.442651,7.0298795247224,97.9381121980038,18.2627002438068,192.787403362783,259.121761277876,38.5522405238046,36.3456646788407,36.5276149984858,104.367917726344,87.6802504643342
20,1,75.81555616,25.82491007,21.51519336,13.15384042,15.3145152,64.94926488,291.8975404,105.8935644,37.52961836,60.96525979,381.6666603,29.67397025,49.91937091,635.1112826,78.22783224,24.92063257,54.48925953,18.50333522,123.6700234,127.0357,19.47682,1.210502,39.9103956174294,95.1227848156566,18.7636405302863,185.483147989592,165.674215380276,48.7136366674974,31.0096142170841,33.3824836288684,106.456289444953,87.7880022818895
25,1,28.08100471,21.98875399,12.3247297,154.2873474,19.0754424,51.31967297,370.9813821,13.98125304,46.50528702,45.84816897,257.747641,37.87328729,60.08352127,470.3646769,178.2673019,44.1055981,58.35708283,16.20889374,115.547591,128.4716,34.57922,6.468776,15.5963473244342,79.6127797996154,15.2469909003369,168.605390642763,217.095068240628,45.9712370128638,35.4549589221847,26.3831094180426,100.602203793741,88.0478458930971
30,1,85.06284954,18.35940206,3.481729003,18.9887797,14.4951995,53.43843878,344.8561382,96.29599793,37.72683123,42.20455616,273.1094438,47.32397252,52.80055324,503.9592852,35.20855809,18.3416911,44.75468581,16.99924366,111.8539036,95.051,25.68847,6.088089,55.43032347882,57.2985065037406,19.472650780702,163.495403472718,111.501173942239,50.0361234260509,30.4199559313087,27.1028618802125,101.987145845186,88.1421243675006
35,1,83.02309943,20.72305148,7.080439331,90.90987622,30.36392333,47.87247445,392.2350207,29.77207156,48.21092873,33.01159623,215.3403628,25.98591737,59.33847081,392.2993935,89.63267902,14.62147599,39.18577559,15.89146539,106.1926036,97.73916,17.66117,9.71898,33.3201739113253,21.9888617210247,18.750773525545,151.423971443804,189.465185219555,41.4252317375798,34.3383819594139,25.4051721740992,98.2749382532171,88.3330318728077
40,1,82.48615742,21.11492799,16.03255337,42.28712176,14.75846567,51.12455401,366.2358491,72.07022861,40.874022,30.6935831,216.7761625,19.32557209,49.33470695,419.1786358,52.28907074,11.50228402,24.1093225,16.67903301,103.6268874,88.60329,16.33331,10.15871,84.6795055484217,38.8897098504928,21.380747364488,147.568247357382,130.6522132553,31.9516643354281,33.5142860024449,27.9630550450641,99.2657986192073,88.4116834706039
45,1,87.18088214,24.02006341,24.93338845,87.55354733,34.71691526,47.88623987,397.5721324,19.478137,47.12704829,24.23924105,197.5416373,28.50432013,53.2984532,336.7278306,172.3971572,33.25635463,22.30463694,15.81937843,99.49805155,98.13349,24.24499,10.49087,53.2585743632442,57.2740086702155,22.1315260321568,138.244716275133,212.948292893597,28.8976708294139,36.071987903473,28.4425665553734,96.6507335909235,88.5546583856
50,1,96.87720889,23.96355245,33.3727829,38.45450056,16.79519227,50.12831434,372.5874307,93.72355711,35.57625153,22.30144159,189.0944934,42.41581709,49.83249235,358.4532919,96.62909825,25.57478336,25.5136273,16.30151931,97.70972405,88.20841,25.79685,13.25433,88.070486940374,57.3731020771457,21.236650673735,135.182997507942,139.483933219266,31.0309949581103,38.6803733551654,31.4026578299102,97.3929100267441,88.6164432898788
55,1,77.80808953,24.49977812,41.41774042,96.66977123,28.36095767,46.69216538,394.4126864,19.76697323,28.04508112,17.94389306,193.0454111,32.7240043,56.98565062,294.6989078,111.4829662,22.81555817,41.01936072,15.3683013,94.60809745,128.2868,24.30221,13.88683,46.8555498728798,31.4436741329999,22.3038342905244,127.631854237373,162.404085167627,36.1594381570651,37.857177572634,32.3719156158569,95.4365050024594,88.7215032229892
60,1,69.5975432,23.16140459,48.4265175,54.88299575,14.32166672,46.56684541,370.5234652,96.86548163,29.07787269,16.1879948,178.541637,18.6646247,51.54643117,312.1963045,44.37716699,4.372109638,46.79297934,15.33637447,93.35845853,135.3588,12.76872,18.22256,85.5107877225698,17.615495322918,19.0078666151892,125.105067273518,97.3182135008562,35.3704417865655,39.4102080091106,35.1742373659572,96.0095772323005,88.7657463317301
