msec,Exper,µVpostEEMD1T5squa,µVpostEEMD2T5squa,µVpostEEMD3T5squa,µVpostEEMD6T5squa,µVpostEEMD1combinexpT5SquareMask,µVpostEEMD2combinexpT5SquareMask,µVpostEEMD7combinexpT5SquareMask,µVpostEEMD1combinexpT5SquarePseudo,µVpostEEMD2combinexpT5SquarePseudo,µVpostEEMD3combinexpT5SquarePseudo,µVpostEEMD4combinexpT5SquarePseudo,µVpostEEMD7combinexpT5SquarePseudo,µVpostEEMD1T5diamo,µVpostEEMD2T5diamo,µVpostEEMD1combinexpT5DiamondMask,µVpostEEMD2combinexpT5DiamondMask,µVpostEEMD1combinexpT5DiamondPseudo,µVpostEEMD2combinexpT5DiamondPseudo,µVpostEEMD3combinexpT5DiamondPseudo,µVpostEEMD7combinexpT5DiamondPseudo,µVpostEEMD1T5Mask,µVpostEEMD2T5Mask,µVpostEEMD3T5Mask,µVpostEEMD1T5Pseudomask,µVpostEEMD2T5Pseudomask,µVpostEEMD4T5Pseudomask,µVpostEEMD5T5Pseudomask,µVpostEEMD6T5Pseudomask
0,1,94.69431233,50.08824428,116.4958521,172.1082766,98.12361837,54.50817912,85.65308246,83.78578448,91.63170142,142.0220528,25.1658416,596.2718775,105.6036841,12.22127893,66.0130986,83.19415265,368.4480173,55.45824997,28.44861441,1400.002705,29.2092113799869,24.5985179638749,31.8259922426919,43.1401713014398,55.9358760380065,77.5122909809399,25.3673517741838,570.689744490909
5,1,90.67415751,22.56203434,35.95478622,141.0973122,41.26747092,29.30067062,85.65308246,7.854232842,42.14376854,66.80900124,16.22950962,230.1198241,130.1562501,20.09758747,137.7335257,48.75576932,40.1946523,26.52130244,12.04333788,649.174678,102.589097933023,4.63978304624986,24.8322217344572,84.7844692502252,43.807401139992,48.918463424249,22.8538161005696,297.543359878409
10,1,66.57957961,24.89012539,32.55233995,133.4691469,73.9633282,23.25853456,85.65308246,63.54315244,41.45073598,53.94150596,16.77386511,259.9136348,85.94311454,11.64545255,68.28243526,36.49803622,248.6026928,27.41342776,8.360793838,696.5758931,19.7582298380923,8.42933557042211,21.5570844336278,36.0320872568809,14.5856890949531,42.6815225972806,23.8402562467648,310.21551469337
15,1,75.40678435,16.03935847,12.70438039,121.1875745,8.440864999,19.38140899,85.65308246,19.74891397,22.40867459,36.81133005,19.92911164,150.0954179,81.29209133,16.17405507,105.2782845,17.77172116,59.32962807,15.85899554,5.0012123,465.4525689,59.8404416124776,10.550631275065,21.1928521168629,55.350575007439,24.9236362478204,33.8298501836732,24.9638742436844,227.820762382172
20,1,70.99204565,14.96545502,13.37592072,116.2724681,46.61661024,18.52269492,85.65308246,40.56324234,20.3056457,33.2672405,23.16589163,172.5104885,62.23897104,12.99471851,77.68872895,10.5990861,201.1130932,17.61288047,3.516680596,500.4672247,12.1798477965241,10.1223312529118,19.6296621853969,40.7188321937251,9.4432822211105,30.9319536956144,26.4308392791352,236.800786545467
25,1,47.34531618,11.09668844,3.171621716,108.412965,15.24324917,14.37062232,85.65308246,13.62070574,14.9036443,26.03948549,26.31486316,111.4964903,62.16469006,19.11178018,73.95721147,11.82079404,66.87123431,12.97402931,1.849817084,369.2519895,56.9792379257457,7.54441567386107,19.0994568529327,39.232882592491,16.8115342423378,25.9278677584484,27.7459661897464,191.237400240232
30,1,28.38790184,9.88188525,4.339327824,104.8000466,28.70677243,8.699700019,85.65308246,52.5185878,21.4916329,24.57553418,28.90031034,129.8404398,59.0075472,17.5536275,45.79742832,21.08336792,149.7218725,16.12089137,.928715736,397.3214548,7.97801044233636,6.36658450320388,17.1953087645147,29.4705977665608,4.20195516881674,23.9729984488858,29.1337913174546,198.10570521989
35,1,42.75620838,15.09121159,3.517420301,99.01154034,25.94275267,9.889323732,85.65308246,31.76800157,19.44181117,19.60684787,31.33251403,88.80049714,64.66517436,15.03190224,41.42095127,20.80353732,48.48912787,10.27861603,.292076774,307.5479604,43.4770828645959,6.94306752783923,15.8937278658761,28.8858351971742,13.8124927892201,20.3938772556073,30.3772947375696,167.89354596418
40,1,64.22824031,17.36273275,3.454891135,96.16174122,23.47852076,19.1042649,85.65308246,54.56635305,23.05515855,16.99487183,33.15794333,104.4230739,68.31817061,5.636346163,49.53539304,17.86095112,137.2013761,9.458915995,.420922682,330.9100736,14.9027500232824,7.57968141169597,13.569447170525,24.6097521230453,20.8383261616165,18.7866372771924,31.6599022207244,173.320599979828
45,1,56.59569576,24.62180555,8.235709293,91.58310803,28.64560718,24.94395984,85.65308246,14.70280492,19.86651187,11.95591813,34.85466599,73.98937448,41.49593914,10.08245826,60.38136724,8.603868359,49.83926715,3.609871597,.685502126,263.5776072,34.1658445024731,4.78278846200267,11.7782145412949,24.5097133455304,29.8435083467946,16.0997535991596,32.8284595952935,151.43927062176
50,1,16.74996398,31.42294483,7.468410038,89.22860639,26.42626094,24.86457915,85.65308246,20.50021916,20.93374474,8.272689872,35.72595877,87.60880281,39.24449409,15.19968979,61.08517051,7.443945085,86.5537803,12.18548838,.62485422,283.418672,30.1450389569564,3.09762829062326,9.5864202298474,24.5348564196118,23.4426100469788,14.8441672143075,34.035204798672,155.795112371684
55,1,24.44042739,34.78056176,10.78154311,85.4411908,26.79771948,24.55842345,85.65308246,12.17759022,16.39529035,7.359226208,36.33140147,63.63230134,42.93123896,17.45301285,50.30680201,10.35278098,29.60796913,18.18761723,.391174742,230.1106216,25.6183956296948,9.44468551990313,8.02964768509867,25.2354932960158,21.8051130294817,13.2231367965038,35.1511767339246,139.107772062484
60,1,19.69490018,36.48543072,8.274721525,83.42838491,31.34084391,29.02780463,85.65308246,29.65853768,12.77522248,10.97638844,36.13407245,75.68405692,41.56416636,7.126091341,27.70155858,13.08370471,103.2624031,23.65286656,.418725602,247.1474402,66.1265745935095,10.6989684466296,7.16709924800321,26.7769588706298,33.5257959089698,12.6711553454593,36.3058752222011,142.626072451847
65,1,22.99928463,34.1139778,8.767703967,80.19607335,28.70631968,27.48436888,85.65308246,7.989930945,19.31083725,18.31434255,35.79252575,55.99996369,40.8485946,7.395204499,46.26953313,8.26346819,60.60314812,17.34562468,.93514601,203.4515383,38.1703592539721,8.23889671505111,7.08163738634366,42.195611783831,37.833577384993,12.554992651045,37.3833114412155,129.468917927177
70,1,33.17251832,32.33268537,5.207199581,78.42931378,66.21657685,21.11896245,85.65308246,20.21016189,28.22917173,25.60235691,34.76509935,66.76742404,51.78211418,16.13352048,79.94481619,6.955855765,119.8654525,11.06018843,1.330904125,218.1505202,46.6872671324456,7.64114451032696,8.72723441728074,43.0723989684034,47.3035477858727,12.9870201919378,38.495668811019,132.310632572968
75,1,52.50654877,32.11545634,7.054357664,75.60563058,38.49157601,21.53165056,85.65308246,21.95044961,27.19830881,32.60909614,33.68507659,50.14140984,66.27405259,15.83565004,75.10795414,16.61931222,43.74703219,20.14135113,1.676847268,181.493155,51.9460481319063,15.4042168062253,10.7757241840349,29.8687111088603,56.6647587693791,14.2246596613196,39.5397360453461,121.69851775634
80,1,68.09162096,29.59562313,7.453296147,74.0211985,55.85152257,28.21638624,85.65308246,38.96843863,19.22921273,39.15026544,32.12371185,59.8197659,89.61583909,6.407338193,12.03039883,27.543271,76.91468293,33.25311361,1.897133104,194.173835,35.7357769974615,20.4405561937149,13.3269864065739,19.0526912765992,61.0897459881478,15.3942124160403,40.6152280349991,123.981325822533
85,1,88.99422463,27.40670368,11.42110924,71.5092331,36.891994,28.68348639,85.65308246,46.30187708,15.02677511,42.75544906,30.58498179,45.51766715,74.98426967,3.620470476,67.18513015,38.17192186,21.86548357,43.04737526,2.214465623,162.9427115,35.7522344276105,22.0545648133446,15.7177144669508,12.638631559659,70.7673261789616,17.3648136000875,41.6289832371551,115.284143875751
90,1,67.52917327,29.21369925,12.42278754,70.06300841,30.46006081,20.3387644,85.65308246,67.61281123,18.27472824,44.86354999,28.67729851,54.23911033,44.13197558,10.55054475,81.6875977,49.14364501,68.79506097,51.12208715,2.818807703,173.8319252,15.7443315305739,19.1919511391339,16.967256050452,10.0152653566029,69.7184561916367,18.9129977874293,42.6704163628111,117.097923073366
95,1,27.02223857,29.86163451,15.2543341,67.79534387,31.36419233,18.89415582,85.65308246,69.52917443,14.88166466,44.1628059,26.72290961,41.81910251,2.639598281,14.05684834,40.97751831,54.11777061,24.70758331,52.29450331,3.68302375,146.9638345,12.2211617395716,16.2705196854138,17.5799126135808,9.04770254649245,68.2135642105998,21.176373227252,43.6566489879042,109.888885369602
100,1,10.73186251,27.23215222,14.09604575,66.45530194,36.43934301,24.39633887,85.65308246,112.2065338,9.400236934,42.71664996,24.44234169,49.66709981,54.75486347,10.63334208,26.47871421,52.04687821,58.11329173,51.2986047,5.024524123,156.2247297,38.820938821527,20.2747213870022,17.0316431745647,10.9915235910898,60.3948967128025,22.8987107110704,44.6671311177325,111.304614746633
105,1,15.64182336,26.3248161,13.99044326,64.38301059,51.32110205,22.76624208,85.65308246,92.47504746,4.967631147,40.24315549,22.01001996,38.87105331,73.90853824,8.131525766,16.48873745,47.7459138,13.82659263,49.0778131,6.742713981,132.9931063,39.0322979299026,21.1765261700964,16.8995899636646,15.6344317354003,50.6511117797609,25.2499055461849,45.6277468681047,105.281562602948
110,1,17.53831833,24.02385254,11.08648352,63.12535773,56.48826812,15.57802359,85.65308246,43.34647532,10.83381881,38.57522241,19.4961417,45.89105398,38.39885409,13.43460987,20.89355015,49.90456674,52.86619543,49.07752037,8.806264179,140.7446215,75.4667213847447,14.1685872555881,18.4867506594769,20.4830696995778,48.5366787423664,27.0511184823963,46.6084817771095,106.356803481863
115,1,29.06061375,20.87085376,9.099763137,61.21237011,109.2531617,10.40628588,85.65308246,3.273300349,15.64417517,39.69843891,17.01081566,36.58097874,20.85759241,19.66456319,30.64232784,58.24370471,39.39563461,57.12903906,11.24310278,120.6424238,98.3985627802498,13.057758365931,20.3673817911565,25.5634316617933,42.6839355629318,29.4019805311241,47.5437318317328,101.298155960111
120,1,41.38658319,21.10226947,7.512248808,60.01988541,80.4402989,14.41198787,85.65308246,36.55096457,21.63267348,42.66351835,14.75572255,42.78986831,52.35751744,24.92876775,47.35680561,61.61353681,74.53081252,65.56698876,14.05984893,126.9720205,48.2417092717905,18.5110006738935,21.8410022264052,28.1840384712138,43.1951626685461,31.2387775766766,48.4949596767381,102.080610473207
125,1,85.29164129,23.75613474,6.676186295,58.23995397,74.23903094,21.33310594,85.65308246,41.46871386,28.68199432,46.7910151,12.6866196,34.90531078,35.61615071,30.57600482,51.89458828,56.01425893,57.77087522,69.09236993,16.97595207,109.6423946,81.0099182630601,23.0146422787553,23.2703442952311,27.8622227341546,43.1919517029635,33.553047415635,49.4048113313658,97.8191773471005
130,1,91.77403005,27.7992803,9.729066054,57.10219825,25.75919315,21.59395759,85.65308246,59.237775,35.75954074,49.96211844,11.20628403,40.30149823,23.44493307,32.59985014,42.00419424,43.44769603,81.57579371,67.81726837,19.72976675,114.6141456,103.481709078353,28.563056200232,24.5919795952606,30.4862388911869,51.823918590847,35.4070198856681,50.3269276124984,98.3491006942138
135,1,44.64443377,32.87036623,12.386283,55.44130059,48.04777915,12.74259692,85.65308246,78.36984464,45.44355369,52.31584177,10.21848237,33.82604682,29.42205884,32.44922285,37.01826923,30.24464641,26.51167219,57.13977605,22.57084221,99.8064061,96.519413466399,38.477071847472,25.896301360712,39.5698675131683,62.5686110804448,37.6722744188107,51.2114767186763,94.7557437236908
140,1,37.5793542,36.69918712,16.85643281,54.35858708,28.1075049,18.61196164,85.65308246,96.31873447,53.43174217,53.46019288,10.12922188,38.4011462,27.51631753,32.26445379,33.79074508,27.80697133,58.48201559,42.74890726,25.42673807,103.4684426,88.2624546917749,48.5450834973243,27.2741854480728,49.5880013707674,64.2928184577964,39.5367010876343,52.1042846632735,95.0676394931188
145,1,26.25095964,35.88805791,20.80288032,52.81009802,64.47594814,30.32532337,85.65308246,61.84308767,59.50733775,53.97592923,10.64076628,33.33290357,27.72771468,31.81297227,52.92870743,26.86657029,22.59023457,28.77114458,28.6626869,91.01322213,121.074505878553,50.3438642778663,29.092891662008,55.6615291165465,58.1357761750209,41.7507146649519,52.9626568118178,92.0406647998859
150,1,31.14098391,32.41603636,24.85170482,51.78160285,49.85998963,33.18292169,85.65308246,51.76396622,65.59641293,53.43212468,11.69338565,37.08452321,30.99307961,28.61934813,64.20151242,21.77879764,51.74615723,23.24812887,32.34058648,93.40565631,115.199671948516,46.8513283479955,31.7287584824687,97.8344852489634,45.272930950222,43.6230994993266,53.8252482457026,92.1645141699098
155,1,68.35974358,30.4142843,29.20572705,50.33685752,60.89203764,39.19858139,85.65308246,106.112275,66.32032543,51.90450593,12.91456274,33.41029214,41.47477526,22.15304633,64.39957672,18.14533703,23.97390269,29.32968684,36.43710588,83.19495071,57.8222652724633,48.7501796511308,35.3467296162676,65.5904925472367,40.7534533133633,45.7823191849067,54.656170272763,89.6225539897077
160,1,78.32277327,29.40871068,32.7539465,49.35914871,73.86035153,52.20630784,85.65308246,107.7455449,67.52812889,49.52874034,13.91424843,36.35368418,69.19711622,15.205337,87.53713596,20.45121537,50.10832602,35.29236784,40.98960134,84.3512055,57.7350632581699,55.3694431476858,39.2005205964247,52.191372538045,35.8469644542042,47.6487876142518,55.4873805441556,89.5847323033979
165,1,75.56251814,24.37194131,37.07220058,48.00923738,45.0764,62.0135831,85.65308246,64.34078918,64.8644321,46.77706051,14.6693741,34.02990043,76.94803064,11.27373738,108.2360486,28.30203752,38.94995371,41.44807951,45.38381712,76.31906853,39.0458263460838,55.4329695399104,42.808702553387,70.3244221296389,37.6663673313163,49.7530966665938,56.2894065305425,87.4618350434279
170,1,84.79932941,19.05871284,38.40493697,47.07836049,60.12633671,65.69508596,85.65308246,60.70077399,56.72729562,43.70477447,14.97116428,36.20523111,20.58844131,9.403674663,87.13046031,33.92267943,50.49337395,43.10875683,49.54649377,76.26923159,62.6528844224422,43.715522596929,45.7606846668044,96.1841049091271,38.7430441027828,51.6356542309902,57.0879360223679,87.2858137125728
175,1,72.19885771,22.79483047,39.06250323,45.81500718,83.67207295,63.82414955,85.65308246,72.50999596,56.42545636,42.71575855,14.95457397,35.14914655,69.32557624,6.093679327,80.56435891,36.75231293,86.0082701,37.72428452,53.17816776,70.3789274,96.6683689421425,29.0797433008232,48.3091398273033,79.4861623011172,39.2826812718847,53.7190475959415,57.8595020802707,85.5279802582626
180,1,42.76742979,32.19515721,36.79549132,44.92721644,96.90107471,61.56442626,85.65308246,71.28129888,65.10568581,45.13726185,14.37588576,36.62206266,78.38183001,9.220019781,81.6857061,43.76760185,69.50836209,35.16458316,56.61025703,69.16045155,108.706857578848,18.4028252180865,50.8450877896359,99.1864209361392,38.7044871049587,55.6465447608234,58.6239150167155,85.2348792169759
185,1,13.12253011,37.60350779,34.37125233,43.74328996,83.19846242,61.63861753,85.65308246,72.49079059,65.0161445,48.86320067,13.43197765,36.71400905,16.67290296,21.47671616,85.5827409,53.88465819,68.91266881,44.13185474,60.88591685,65.38921006,202.972659907576,16.4985985428721,53.3118376741332,120.297859928853,34.9349058088457,57.7427084094433,59.3632215629532,83.7975774569101
190,1,23.68192559,35.36595026,31.18935658,42.8949373,102.2346563,59.43334514,85.65308246,84.74637472,51.4964286,52.33559831,11.98445001,37.56978479,64.99224834,38.04087575,90.77280102,59.81028255,76.19004479,58.0208555,66.21300152,63.05995804,223.428135670128,22.8182925347088,55.8181773765896,111.085178543999,35.493752656092,59.7497778493807,60.0914006947472,83.4066139587447
195,1,34.75812511,35.80914913,28.00113566,41.78356399,166.6461919,54.90108387,85.65308246,95.87375409,59.4959487,51.60475608,10.23540702,38.66379297,76.34351132,56.04000019,138.8746863,63.23199274,100.7640112,64.02437336,71.9179778,61.37823175,136.912592933531,28.744670809039,57.212053015567,92.3598018956153,36.8339855071475,61.9026718025765,60.7949705890555,82.2529783422973
200,1,76.06593749,46.67835409,28.12433749,40.97122126,169.1885541,49.94381139,85.65308246,107.1441302,87.01500671,45.32472253,8.012916422,38.99864658,127.0964399,71.91692628,146.1988257,72.28844609,131.0133099,65.20110018,77.57046814,58.03177764,163.392829224164,28.9265589482908,58.1118073866331,94.0474973175339,35.9119149202956,64.0396470091826,61.4822024760845,81.7818472865067
205,1,181.5625482,60.68841691,30.34504374,39.92674154,150.2070584,42.70005264,85.65308246,160.5372835,90.67039365,37.76148976,5.363615396,40.93736324,127.5758241,83.1604554,79.09098583,83.66052997,105.1199914,67.27788364,82.7160217,58.37677154,258.389165760967,30.6457429378132,60.4846126717783,83.9198926482528,37.6981687316621,66.2949411345335,62.1437796905668,80.8813822740464
210,1,223.8062963,74.32336367,35.06220776,39.14784152,116.6560825,34.48744697,85.65308246,197.5976118,71.9053974,29.82241011,2.208779163,40.85144532,99.88034675,95.50713139,84.77433595,88.72510225,90.32043415,69.56786113,87.51737669,54.15676327,265.004719044607,39.9625199825432,64.4123185703369,62.8759173059728,43.0167115286629,68.5168917464287,62.7826581095166,80.3466010188138
215,1,175.0285761,85.97984083,39.9084296,38.16561056,128.0858822,26.33318716,85.65308246,148.6069326,63.87778343,25.14537061,1.462108716,43.48009667,85.59773048,107.1603768,77.64266415,89.06219128,132.4805083,74.21378142,92.47457311,56.40409151,187.103686418179,51.6170418040233,69.1653679973646,88.3110058494512,47.0409891167333,70.7227000811821,63.3931831442052,79.6742978517228
220,1,202.849041,86.84192812,41.85619522,37.41817093,189.676718,18.4415391,85.65308246,118.2381257,92.85975805,27.5782293,5.08935302,43.06877544,87.80995892,124.2442243,59.02508732,90.67151379,137.9322316,76.72308545,96.27260543,51.51089747,118.465581048541,60.1234985549581,72.9356484524453,87.6624616516341,48.9293858588657,72.8763337658228,63.9729672083701,79.0914162432637
225,1,197.5453981,85.53782369,41.60428929,36.49432378,140.2482978,12.63271391,85.65308246,81.45405835,129.6558385,33.32858564,8.818171226,46.24241058,76.40818946,142.2245937,81.53677334,93.10847098,141.1310027,75.78546958,98.15743425,55.45412648,98.6287234910367,70.8326106528591,75.6824418919915,99.9467581513295,50.2768366578065,74.9254480558539,64.5189470086375,78.6261532172773
230,1,89.61822748,94.97443184,38.85515478,35.77683209,118.5285987,8.032423269,85.65308246,49.39538249,134.4016789,39.7858365,12.36441051,45.59120758,93.11901252,143.0452458,69.62961746,95.27725746,194.0305575,79.86077935,98.1746987,50.13598183,89.9107383792579,77.0602282332245,77.8437866504294,19.5435854489672,52.3904222468679,76.9120854258157,65.0228659277573,78.0067162589707
235,1,64.00125292,101.4996424,36.42137691,34.90815523,156.8143148,5.363719993,85.65308246,26.75479334,113.2722657,45.82060549,15.69545602,49.18223415,120.1050324,133.4273383,40.95585929,93.90111961,133.1576851,84.32269441,96.56266754,55.48664212,133.643907103767,76.3970772473035,79.4134184048498,151.538567756443,56.9753838219698,78.7033958038871,65.4832460678145,77.7265157320694
240,1,93.9001223,93.3236283,33.09201416,34.21950552,149.4702956,3.835801007,85.65308246,25.44940431,87.79336519,50.78370765,18.69577123,48.37182961,126.6701532,116.9218792,39.52572408,85.1831427,110.1092677,83.38550978,95.24058167,50.0131391,175.741923545322,81.0926934528468,81.3785914843793,149.697814024667,63.2064508352386,80.4100504072952,65.8948548801265,77.076423234443
